experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
B,B-S2-POW-DET,deterministic_program,POWER,S2,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0,18589,464,0.0,0,5535,11070,,,615,0.0009434658537119082,not_applicable,[],[]
B,B-S2-POW-FULL,full,POWER,S2,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.11629159471542552,pass,[],[]
B,B-S2-POW-HUM,expert_led,POWER,S2,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S3-IND-FULL,full,INDUSTRIAL,S3,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.030199261647307286,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
B,B-S3-IND-GEN,generic_tool_agent,INDUSTRIAL,S3,100,1,0.2904509296311834,0.5770258902701187,0.003875968992248062,0.02298850574712644,0.3333333333333333,0.20622568093385213,62907,109070,3775,0.8180995634108418,93130,113837,10250,,,4046,0.40306234855412676,pass,[],[]
B,B-S3-IND-DET,deterministic_program,INDUSTRIAL,S3,100,1,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.002174958899900666,not_applicable,[],[]
B,B-S3-IND-HUM,expert_led,INDUSTRIAL,S3,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-S3-POW-GEN,generic_tool_agent,POWER,S3,100,1,0.16850811288591452,0.33701622577182905,0.0,0.022727272727272724,0.3333333333333333,0.9534883720930233,7091,17979,464,0.6646099603349493,9048,13614,5358,,,615,2.2356330524389896,pass,[],[]
B,B-S3-POW-DET,deterministic_program,POWER,S3,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.013567144105710634,not_applicable,[],[]
B,B-S3-POW-FULL,full,POWER,S3,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12240176747971389,pass,[],[]
B,B-S3-POW-HUM,expert_led,POWER,S3,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S4-IND-GEN,generic_tool_agent,INDUSTRIAL,S4,100,1,0.33797066530966896,0.5907561454341528,0.08518518518518518,0.3018867924528302,0.4791666666666667,0.1867704280155642,64311,109105,3775,0.8036483319372879,94984,118191,11898,,,4046,0.38483593868438937,pass,[],[]
B,B-S4-IND-FULL,full,INDUSTRIAL,S4,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.02233177487025092,pass,[],[]
B,B-S4-IND-DET,deterministic_program,INDUSTRIAL,S4,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.0001436482224406493,not_applicable,[],[]
