experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
B,B-S1-POW-HUM,expert_led,POWER,S1,100,,0.6828275978979488,8056,11798,6640,0.37883467160798845,3680,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S2-IND-GEN,generic_tool_agent,INDUSTRIAL,S2,100,1,0.6361544526136301,69393,109082,3775,0.8478327312053792,108186,127603,2636,,,4046,0.36311470285466657,pass,[],[]
B,B-S2-IND-DET,deterministic_program,INDUSTRIAL,S2,100,1,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.00014302661071634597,not_applicable,[],[]
B,B-S2-IND-FULL,full,INDUSTRIAL,S2,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.02695513008725696,pass,[],[]
B,B-S2-IND-HUM,expert_led,INDUSTRIAL,S2,100,,0.9303319093000328,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-S2-POW-GEN,generic_tool_agent,POWER,S2,100,1,0.5328698553948832,9581,17980,464,0.17577771066143158,10476,59598,5102,,,615,2.2074138789966784,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
B,B-S2-POW-DET,deterministic_program,POWER,S2,100,1,0.0,0,18589,464,0.0,0,5535,11070,,,615,0.0009434658537119082,not_applicable,[],[]
B,B-S2-POW-FULL,full,POWER,S2,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.11629159471542552,pass,[],[]
B,B-S2-POW-HUM,expert_led,POWER,S2,100,,0.6828275978979488,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S3-IND-FULL,full,INDUSTRIAL,S3,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.030199261647307286,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
B,B-S3-IND-GEN,generic_tool_agent,INDUSTRIAL,S3,100,1,0.5767580452920144,62907,109070,3775,0.8180995634108418,93130,113837,10250,,,4046,0.40306234855412676,pass,[],[]
B,B-S3-IND-DET,deterministic_program,INDUSTRIAL,S3,100,1,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.002174958899900666,not_applicable,[],[]
B,B-S3-IND-HUM,expert_led,INDUSTRIAL,S3,100,,0.9303319093000328,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-S3-POW-GEN,generic_tool_agent,POWER,S3,100,1,0.3944045831247567,7091,17979,464,0.6646099603349493,9048,13614,5358,,,615,2.2356330524389896,pass,[],[]
B,B-S3-POW-DET,deterministic_program,POWER,S3,100,1,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.013567144105710634,not_applicable,[],[]
B,B-S3-POW-FULL,full,POWER,S3,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12240176747971389,pass,[],[]
B,B-S3-POW-HUM,expert_led,POWER,S3,100,,0.6828275978979488,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S4-IND-GEN,generic_tool_agent,INDUSTRIAL,S4,100,1,0.5894413638238394,64311,109105,3775,0.8036483319372879,94984,118191,11898,,,4046,0.38483593868438937,pass,[],[]
