source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-40936439C418B2047268,INDUSTRIAL,include,1365,exact_semantic_signature_order,1751,21,2022,CREDIT-40AF99C363A0,1713,其他锅炉,True,1
SRC-RAW-C2A07E8B37DA4337574A,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1752,11,2022,CREDIT-82A02890C989,4412,,True,1
SRC-RAW-E71313A36F2A76EC4077,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1753,11,2022,CREDIT-C8C267ED0CAC,4417,,True,3
SRC-RAW-5C9C0817DD1C218F1CF5,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1754,12,2022,CREDIT-C8C267ED0CAC,4417,,True,3
SRC-RAW-8848DB76F8FFC5639534,INDUSTRIAL,include,1366,exact_semantic_signature_order,1755,21,2022,CREDIT-C4581E7EEF2E,3022,燃气轮机,True,0
SRC-RAW-031A8C80E6CD7D84531D,INDUSTRIAL,include,1367,exact_semantic_signature_order,1756,22,2022,CREDIT-C4581E7EEF2E,3022,燃气轮机,True,0
SRC-RAW-5F06D1EA55182A9CBE78,INDUSTRIAL,include,1368,exact_semantic_signature_order,1757,23,2022,CREDIT-C4581E7EEF2E,3022,燃气轮机,True,0
SRC-RAW-D991A2F59A6B7CF7253E,INDUSTRIAL,include,1369,exact_semantic_signature_order,1758,21,2022,CREDIT-987C1260C046,1439,燃气锅炉,True,0
SRC-RAW-7DF268CD23016D980536,INDUSTRIAL,include,1370,exact_semantic_signature_order,1759,22,2022,CREDIT-987C1260C046,1439,燃气锅炉,True,0
SRC-RAW-CC6A5FF95A6253A3603E,INDUSTRIAL,include,1371,exact_semantic_signature_order,1760,23,2022,CREDIT-987C1260C046,1439,燃气锅炉,True,0
SRC-RAW-9D4FE2737193BB90EF83,INDUSTRIAL,include,1372,exact_semantic_signature_order,1761,21,2022,CREDIT-184B46D3ADA3,2740,燃气锅炉,True,1
SRC-RAW-1EE2B5B6C94D0DA9429E,INDUSTRIAL,include,1373,exact_semantic_signature_order,1762,21,2022,CREDIT-36F53D208DAA,1819,燃气锅炉,True,0
SRC-RAW-6E9D19660F2B6888DDB9,INDUSTRIAL,include,1374,exact_semantic_signature_order,1763,21,2022,ORG-69506380DADE,2929,燃气锅炉,True,1
SRC-RAW-CC0550907390844013B4,INDUSTRIAL,include,1375,exact_semantic_signature_order,1764,22,2022,ORG-69506380DADE,2929,燃气锅炉,True,1
SRC-RAW-5689F658878CC475C41E,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1765,21,2022,CREDIT-A9CCF7389E10,1713,燃生物质锅炉,True,2
SRC-RAW-B2E35975CE116FE7245D,INDUSTRIAL,include,1376,exact_semantic_signature_order,1766,21,2022,CREDIT-2720E93D74E8,2664,燃气锅炉,True,0
SRC-RAW-EC74754E85617F8003EB,INDUSTRIAL,include,1377,exact_semantic_signature_order,1767,22,2022,CREDIT-2720E93D74E8,2664,燃气锅炉,True,0
