parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
D-EP-BFG-GASBOILER-NOX,电力热力源,电力生产,高炉煤气,燃气锅炉,NOX,constant,1.35,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-SO2,电力热力源,电力生产,高炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-VOCS,电力热力源,电力生产,高炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-PM25,电力热力源,电力生产,高炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-PM10,电力热力源,电力生产,高炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-BC,电力热力源,电力生产,高炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-BFG-GASBOILER-OC,电力热力源,电力生产,高炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-CO,电力热力源,电力生产,其它煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-NOX,电力热力源,电力生产,其它煤气,燃气锅炉,NOX,constant,1.35,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-SO2,电力热力源,电力生产,其它煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-VOCS,电力热力源,电力生产,其它煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-PM25,电力热力源,电力生产,其它煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-PM10,电力热力源,电力生产,其它煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-BC,电力热力源,电力生产,其它煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHGAS-GASBOILER-OC,电力热力源,电力生产,其它煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-CO,电力热力源,电力生产,天然气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-NOX,电力热力源,电力生产,天然气,燃气锅炉,NOX,constant,4.1,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-SO2,电力热力源,电力生产,天然气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-VOCS,电力热力源,电力生产,天然气,燃气锅炉,VOCS,constant,0.02,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-PM25,电力热力源,电力生产,天然气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-PM10,电力热力源,电力生产,天然气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-BC,电力热力源,电力生产,天然气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-NG-GASBOILER-OC,电力热力源,电力生产,天然气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-LNG-GASBOILER-CO,电力热力源,电力生产,液化天然气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-NOX,电力热力源,电力生产,液化天然气,燃气锅炉,NOX,constant,3.74,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-SO2,电力热力源,电力生产,液化天然气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-VOCS,电力热力源,电力生产,液化天然气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-PM25,电力热力源,电力生产,液化天然气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-PM10,电力热力源,电力生产,液化天然气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-BC,电力热力源,电力生产,液化天然气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录D 表D.1,43
D-EP-LNG-GASBOILER-OC,电力热力源,电力生产,液化天然气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-CO,电力热力源,电力生产,液化石油气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-NOX,电力热力源,电力生产,液化石油气,燃气锅炉,NOX,constant,3.74,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-SO2,电力热力源,电力生产,液化石油气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-VOCS,电力热力源,电力生产,液化石油气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-PM25,电力热力源,电力生产,液化石油气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-PM10,电力热力源,电力生产,液化石油气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-BC,电力热力源,电力生产,液化石油气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录D 表D.1,43
D-EP-LPG-GASBOILER-OC,电力热力源,电力生产,液化石油气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-CO,电力热力源,电力生产,炼厂干气,燃气锅炉,CO,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-NOX,电力热力源,电力生产,炼厂干气,燃气锅炉,NOX,constant,0.75,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-SO2,电力热力源,电力生产,炼厂干气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-VOCS,电力热力源,电力生产,炼厂干气,燃气锅炉,VOCS,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-PM25,电力热力源,电力生产,炼厂干气,燃气锅炉,PM25,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-PM10,电力热力源,电力生产,炼厂干气,燃气锅炉,PM10,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-BC,电力热力源,电力生产,炼厂干气,燃气锅炉,BC,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-REFGAS-GASBOILER-OC,电力热力源,电力生产,炼厂干气,燃气锅炉,OC,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-CO,电力热力源,电力生产,转炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-NOX,电力热力源,电力生产,转炉煤气,燃气锅炉,NOX,constant,1.35,g/m3,,附录D 表D.1,43
