parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-BFG-GASBOILER-CO,工业源,采矿业和制造业,高炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-NOX,工业源,采矿业和制造业,高炉煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-SO2,工业源,采矿业和制造业,高炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-VOCS,工业源,采矿业和制造业,高炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-PM25,工业源,采矿业和制造业,高炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-PM10,工业源,采矿业和制造业,高炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-BC,工业源,采矿业和制造业,高炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-BFG-GASBOILER-OC,工业源,采矿业和制造业,高炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-CO,工业源,采矿业和制造业,其它煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-NOX,工业源,采矿业和制造业,其它煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-SO2,工业源,采矿业和制造业,其它煤气,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-VOCS,工业源,采矿业和制造业,其它煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-PM25,工业源,采矿业和制造业,其它煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-PM10,工业源,采矿业和制造业,其它煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-BC,工业源,采矿业和制造业,其它煤气,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHGAS-GASBOILER-OC,工业源,采矿业和制造业,其它煤气,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-CO,工业源,采矿业和制造业,天然气,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-NOX,工业源,采矿业和制造业,天然气,燃气锅炉,NOX,constant,2.09,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-SO2,工业源,采矿业和制造业,天然气,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-VOCS,工业源,采矿业和制造业,天然气,燃气锅炉,VOCS,constant,0.12,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-PM25,工业源,采矿业和制造业,天然气,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-PM10,工业源,采矿业和制造业,天然气,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-NG-GASBOILER-BC,工业源,采矿业和制造业,天然气,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
