源编号,源类,年份,行业代码,行业名称,设备类型,排口编号,核算项数,分类理由
SRC-RAW-A022F2BD6A4A255EB4FB,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-18FF222B6E0BF1CA1301,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA011,9,[]
SRC-RAW-0EF8DA82CE4CEF4F06DD,工业锅炉,2022,2682,化妆品制造,燃油锅炉,DA001,9,[]
SRC-RAW-BF8FABB62BF404DE7259,工业锅炉,2022,1373,水果和坚果加工,燃气锅炉,DA001,9,[]
SRC-RAW-540D3BE028596D6D2C0F,工业锅炉,2022,2929,塑料零件及其他塑料制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-58FC39D7854046557A4C,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-8724CD7A155F6E689E0B,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA001,9,[]
SRC-RAW-D0FA0B354D129D160FEA,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA010,9,[]
SRC-RAW-5E2480B96D27FDAA14BA,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA011,9,[]
SRC-RAW-2BD4F735D1FE8BDC19EE,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA012,9,[]
SRC-RAW-C0CDFE30D1C4CA4AC490,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA013,9,[]
SRC-RAW-F8DD7BB6CEE5A0A563A0,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA014,9,[]
SRC-RAW-1E9D2B30C25510BF9D34,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA002,9,[]
SRC-RAW-37DFB694F6128AD3E594,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA003,9,[]
SRC-RAW-4414E44B9B488F8A1F23,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA004,9,[]
SRC-RAW-AD939A0A3FC4B10D4A45,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA005,9,[]
SRC-RAW-9333EFD280B6C08BFD80,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA006,9,[]
SRC-RAW-9892EEEE9A027BC9A6FF,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA007,9,[]
SRC-RAW-DED90710876A147F754A,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA008,9,[]
SRC-RAW-320F4C80ED06134E6FEC,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA009,9,[]
SRC-RAW-45020F60C16ED84AEED8,工业锅炉,2022,2239,其他纸制品制造,燃气锅炉,DA002,9,[]
SRC-RAW-698D09EA3B5F450A33A3,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-57B52A7DA5E3A5C54060,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-683EFB2F598CB9C866AB,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-F3485BD6D320C2A09BE6,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-D982DD67754FC071CC1A,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-671678E0A96BE0890CC6,火电热力,2022,4417,生物质能发电,燃气轮机,DA001,9,[]
SRC-RAW-4E3CC01E5283D723B228,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA001,17,[]
