experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings,结果用途
B,B-S1-POW-HUM,expert_led,POWER,S1,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,0.4043536890772491,4198,10382,7750,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S2-IND-GEN,generic_tool_agent,INDUSTRIAL,S2,100,1,0.3183054491073932,0.6366108982147864,0.0,0.06521739130434782,0.4444444444444444,0.45525291828793774,0.8472661368147689,107990,127457,2588,,,4046,0.36311470285466657,pass,[],[],机器实验结果
B,B-S2-IND-DET,deterministic_program,INDUSTRIAL,S2,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0.0,0,110573,2588,,,4046,0.00014302661071634597,not_applicable,[],[],机器实验结果
B,B-S2-IND-FULL,full,INDUSTRIAL,S2,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110573,110573,2588,,,4046,0.02695513008725696,pass,[],[],机器实验结果
B,B-S2-IND-HUM,expert_led,INDUSTRIAL,S2,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,0.8600864330915264,66870,77748,37708,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S2-POW-GEN,generic_tool_agent,POWER,S2,100,1,0.2942563987143532,0.5846960035355767,0.003816793893129771,0.022641509433962263,0.3333333333333333,0.1821705426356589,0.17371257981590513,10474,60295,4430,,,615,2.2074138789966784,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[],机器实验结果
B,B-S2-POW-DET,deterministic_program,POWER,S2,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0.0,0,12532,4430,,,615,0.0009434658537119082,not_applicable,[],[],机器实验结果
B,B-S2-POW-FULL,full,POWER,S2,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12532,12532,4430,,,615,0.11629159471542552,pass,[],[],机器实验结果
B,B-S2-POW-HUM,expert_led,POWER,S2,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,0.40445000963205546,4199,10382,7750,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S3-IND-FULL,full,INDUSTRIAL,S3,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110573,110573,2588,,,4046,0.030199261647307286,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]",机器实验结果
B,B-S3-IND-GEN,generic_tool_agent,INDUSTRIAL,S3,100,1,0.2904509296311834,0.5770258902701187,0.003875968992248062,0.02298850574712644,0.3333333333333333,0.20622568093385213,0.7661562803883111,92970,121346,2588,,,4046,0.40306234855412676,pass,[],[],机器实验结果
B,B-S3-IND-DET,deterministic_program,INDUSTRIAL,S3,100,1,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,0.8679334014632867,95970,110573,2588,,,4046,0.002174958899900666,not_applicable,[],[],机器实验结果
B,B-S3-IND-HUM,expert_led,INDUSTRIAL,S3,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,0.8600864330915264,66870,77748,37708,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S3-POW-GEN,generic_tool_agent,POWER,S3,100,1,0.16850811288591452,0.33701622577182905,0.0,0.022727272727272724,0.3333333333333333,0.9534883720930233,0.6169025869883551,8847,14341,4430,,,615,2.2356330524389896,pass,[],[],机器实验结果
B,B-S3-POW-DET,deterministic_program,POWER,S3,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,0.8186243217363549,10259,12532,4430,,,615,0.013567144105710634,not_applicable,[],[],机器实验结果
B,B-S3-POW-FULL,full,POWER,S3,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12532,12532,4430,,,615,0.12240176747971389,pass,[],[],机器实验结果
B,B-S3-POW-HUM,expert_led,POWER,S3,100,,0.41545068819207287,0.8309013763841457,0.0,0.0,,0.011627906976744186,0.40445000963205546,4199,10382,7750,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S4-IND-GEN,generic_tool_agent,INDUSTRIAL,S4,100,1,0.33797066530966896,0.5907561454341528,0.08518518518518518,0.3018867924528302,0.4791666666666667,0.1867704280155642,0.7440156288003013,94830,127457,2588,,,4046,0.38483593868438937,pass,[],[],机器实验结果
