source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-82B5E171E5A1637B8B24,POWER,include,226,canonical_expert_scope_order,2971,11,2022,CREDIT-C229A403288B,2221,燃煤锅炉,True,3
SRC-RAW-7A0BDFFBBE8DF52BDD9A,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2972,21,2022,CREDIT-7804152FF57A,2319,,True,1
SRC-RAW-230C1A4ABB4A6653AE94,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2973,21,2022,ORG-A51C8404AF5D,2319,,True,0
SRC-RAW-880A4DABB83E7F78ABA1,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2974,11,2022,ORG-62E40CF7A237,1340,燃生物质锅炉,True,2
SRC-RAW-F3A76496521E3ED98EAB,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2975,12,2022,ORG-62E40CF7A237,1340,燃生物质锅炉,True,2
SRC-RAW-B81AFDE12C5185BD8B5A,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2976,21,2022,CREDIT-5681243F95F8,1441,,True,0
SRC-RAW-A5FD6EB514DF454AA20B,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2977,22,2022,CREDIT-5681243F95F8,1441,,True,0
SRC-RAW-A69675A381C3F18A8EFC,POWER,include,227,canonical_expert_scope_order,2978,11,2022,CREDIT-431971206AC4,2211,燃煤锅炉,True,12
SRC-RAW-0A1C442720A5D0A0B25E,POWER,include,228,canonical_expert_scope_order,2979,12,2022,CREDIT-431971206AC4,2211,燃煤锅炉,True,12
SRC-RAW-618565C484D6DB8278DB,POWER,include,229,canonical_expert_scope_order,2980,13,2022,CREDIT-431971206AC4,2211,燃煤锅炉,True,12
SRC-RAW-AD3321CD5519C4AFA0B9,POWER,include,230,canonical_expert_scope_order,2981,14,2022,CREDIT-431971206AC4,2211,燃煤锅炉,True,12
SRC-RAW-C3D59EFB67B91B98AF0A,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2982,21,2022,CREDIT-329B6D125C96,1391,,True,1
SRC-RAW-7A3FECD810EC37C2A406,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2983,21,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-D8FE6D894F6CB995850D,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2984,22,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-8887761FFD2352F1185E,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2985,23,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-66B9EC18C327CABD8CD8,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2986,24,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-16867003BFCEEE83A9E9,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2987,25,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-B21C76F77DB0AC685C94,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2988,26,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-D6775E884FB0464EFF38,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2989,27,2022,CREDIT-FC5E5688A52C,1511,,True,3
SRC-RAW-1B4454155E3E441B9D8D,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2990,21,2022,CREDIT-1C489F4227F9,1529,,True,2
SRC-RAW-A5ACF8BC692B456872FC,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2991,21,2022,CREDIT-35260F11DB2E,1352,,True,1
SRC-RAW-73110D32EB4CDA304ABB,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2992,21,2022,CREDIT-350468FE56C5,2919,,True,2
SRC-RAW-F646D345ED715E0A2185,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2993,21,2022,CREDIT-D4E57920177B,1340,,True,3
SRC-RAW-4AA6AC910D3BFC6B29B3,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2994,22,2022,CREDIT-D4E57920177B,1340,,True,3
SRC-RAW-767E1E9FD8B30B03093D,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2995,23,2022,CREDIT-D4E57920177B,1340,,True,3
SRC-RAW-AE6B9B308E20EFD34309,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2996,21,2022,CREDIT-B6D141C0813B,2221,,True,0
SRC-RAW-1EB7C13F069907F85625,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2997,11,2022,CREDIT-7DC10A29B2CE,4417,燃生物质锅炉,True,2
SRC-RAW-3873ED2380D11ED91A77,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2998,12,2022,CREDIT-7DC10A29B2CE,4417,燃生物质锅炉,True,2
SRC-RAW-E1D1CFC73997DBD74ACD,POWER,not_selected_for_target,,absence_from_expert_target_workbook,2999,21,2022,CREDIT-F40764FA629E,2221,,True,3
SRC-RAW-D047539A8B3FBECE848F,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3000,21,2022,CREDIT-1B55EC56CF6B,2221,,True,2
SRC-RAW-25F833FA52F5E5BEF7A1,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3001,21,2022,CREDIT-225213E68996,2221,,True,0
SRC-RAW-34FAB8CBECE64F1757E0,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3002,21,2022,CREDIT-77626D02BE42,1340,,True,1
SRC-RAW-8CF4DAAA9A1D5633F069,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3003,21,2022,CREDIT-6548C6F82F04,2221,,True,2
SRC-RAW-7331F501285AD513B07E,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3004,21,2022,CREDIT-522E70BC0CC7,1340,,True,4
SRC-RAW-88FF62B097EC70EC2E51,POWER,not_selected_for_target,,absence_from_expert_target_workbook,3005,22,2022,CREDIT-522E70BC0CC7,1340,,True,4
